,Manhattan,Staten Island,Brooklyn,Queens,Bronx,EWR
113,27628.666044602727,35952.12188543437,11802.532286951453,35417.86191510327,3847.582810932436,11804.919445759668
114,28773.684160655055,36832.67348844087,11799.49787160542,36354.45770841012,3714.7820359909,11801.628453624833
115,29299.73175747331,37140.82900087218,11637.575515080625,36713.93051184023,3591.0577965188404,11639.44126380336
116,28962.771442179295,36633.66073516829,11341.188331676622,36254.623834285914,3442.7263273818094,11342.821103030989
117,27631.084699451683,35046.748414393885,10913.254953046562,34714.08459943802,3246.9963155939445,10914.66232946638
118,25238.249611820225,32121.43743107561,10267.510816409975,31832.707122436936,2998.5654323574613,10268.616281579632
119,21678.909300737403,27605.532317545385,9184.750652116574,27360.342375202606,2662.323269315774,9185.377835804387
120,16905.5001085074,21456.63094467677,7441.954250493876,21263.677956804357,2166.010185859241,7441.89451859729
121,11290.173048571363,14276.970833373523,5106.365341314086,14152.037190582916,1492.1712920592354,5105.520358348943
122,5939.250715888782,7610.826565547975,2754.5734081205132,7557.6168731324815,799.1156084648511,2753.0915066009934
123,2510.007280537396,3611.2240483658074,1333.4346940648427,3596.2993841626303,421.4116164310475,1331.72867866725
124,2417.9070235191707,3999.0760523249487,1635.12513812069,3946.0181809757123,680.2559625123741,1633.718660960506
125,5895.5120454819225,8910.04991388581,3720.36194740079,8728.403207936453,1618.6438912235467,3719.6346259951415
126,11636.508708769308,16522.235513446372,6751.951716970003,16157.898772530554,2887.467366088527,6751.944953991438
127,17409.213026083,23905.47308927674,9433.024291695747,23376.28760235956,3917.9176780688517,9433.446074082738
128,21290.565023509662,28623.42572748497,10775.506394851582,28009.971250198367,4281.702737343036,10775.939714032304
129,22670.4486582264,30005.285305327347,10651.748046601926,29400.299919760284,3968.825036046718,10651.923404861067
130,22349.614030506174,29231.2919587959,9747.935850778751,28684.104024821878,3365.6529325694846,9747.886483189657
131,21760.27718095849,28274.742474779137,9004.097385338942,27770.90637671791,2956.4766595848696,9004.107252831098
132,21974.4510607013,28564.55090833045,8996.39207516339,28052.022105998272,2990.9805560014183,8996.795338959826
133,23214.582202000343,30315.92595372654,9695.845253909509,29752.730391602025,3368.865257199258,9696.82592098076
134,25065.86520196163,32823.54354022175,10681.756476603121,32208.77016850219,3794.0526850351284,10683.269728169105
135,27012.887042489303,35242.27067547929,11534.19168812209,34611.14993347268,4030.5828304874735,11536.023956306404
136,28778.801334744843,37139.93907395529,12070.067924296734,36535.147285610336,4041.675367584712,12071.962991580405
137,30274.79114490022,38495.061936705264,12313.760673965384,37942.00312864974,3934.714526794725,12315.524114629232
138,31378.447928901303,39365.92654319261,12345.35620162855,38868.99786818306,3815.3532308558565,12346.896345752193
139,31850.411305630358,39651.12180953598,12212.746124973919,39205.47916509759,3704.453234212712,12214.059028473352
140,31448.80186468394,39109.604525265924,11940.591034229703,38711.683573487884,3568.27925395389,11941.712420571212
141,30043.974724175172,37478.89007162152,11532.089342656713,37127.103867617385,3383.984801694607,11533.030224680857
142,27571.518932680494,34502.266148202565,10901.336082599024,34194.09101888848,3146.205087437676,10902.022926584723
143,23928.105203714353,29929.46387339781,9829.588076273258,29664.43597348853,2819.7943599298687,9829.847000764257
144,19068.09415437219,23719.80528853898,8094.305733112768,23506.55769862236,2332.49088308682,8093.9300466625555
145,13365.074817344626,16476.67533774877,5763.046231329016,16330.931612935072,1666.806831696121,5761.9389923146555
146,7925.987275621284,9744.658149633186,3412.405944276271,9670.077641662165,980.9027803745121,3410.716404129263
147,4408.06581716678,5676.505540740405,1989.0230887175062,5639.633806987362,609.083585168448,1987.164605388704
148,4226.849881874387,5993.105141838076,2284.950511198258,5917.546562942509,872.3016484040967,2283.4469828078004
149,7616.014288801138,10831.274203211178,4361.22934647505,10626.622669713963,1813.5149545918923,4360.460277216773
150,13271.737735456196,18371.71954153676,7381.536407963154,17983.924089498112,3083.866064080897,7381.542591481683
151,18965.586762830837,25687.663848274096,10050.1445897011,25134.595602071,4114.963175517703,10050.632788036397
152,22777.272789391016,30345.605236765095,11379.919582104643,29707.85596815897,4478.843003975134,11380.470940406885
153,24097.965839786866,31675.98148443015,11243.603419520485,31046.309623663117,4165.5524018853985,11243.946100467963
