,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
200,2024-08-09 08:00:00,3457.0136186283953,3896.938530076085,5667.75168150778,3457.0136186283953,3457.0136186283953,0.3165305402480547,0.3165305402480547,0.3165305402480547,0.005130361737358808,0.005130361737358808,0.005130361737358808,0.3921162097313621,0.3921162097313621,0.3921162097313621,0.09850009398295202,0.09850009398295202,0.09850009398295202,-0.028044786237003523,-0.028044786237003523,-0.028044786237003523,0.0,0.0,0.0,4812.564695754662
201,2024-08-09 09:00:00,3457.040711096207,3680.197945239664,5518.9897995170595,3457.040711096207,3457.040711096207,0.25604988307835747,0.25604988307835747,0.25604988307835747,0.005143847521222761,0.005143847521222761,0.005143847521222761,0.33690990092317813,0.33690990092317813,0.33690990092317813,0.10394059185276483,0.10394059185276483,0.10394059185276483,-0.02822442152916693,-0.02822442152916693,-0.02822442152916693,0.0,0.0,0.0,4621.751954559023
202,2024-08-09 10:00:00,3457.0678035640194,3223.9623670381798,5008.971677354502,3457.0678035640194,3457.0678035640194,0.10798036555463858,0.10798036555463858,0.10798036555463858,0.005123053633095405,0.005123053633095405,0.005123053633095405,0.19393572100491108,0.19393572100491108,0.19393572100491108,0.10923652473956869,0.10923652473956869,0.10923652473956869,-0.02840422292239162,-0.02840422292239162,-0.02840422292239162,0.0,0.0,0.0,4127.516740611072
203,2024-08-09 11:00:00,3457.094896031831,2835.470902592262,4672.304451794592,3457.094896031831,3457.094896031831,0.004274918491273802,0.004274918491273802,0.004274918491273802,0.005067399850101514,0.005067399850101514,0.005067399850101514,0.09511968540840714,0.09511968540840714,0.09511968540840714,0.11436155081700544,0.11436155081700544,0.11436155081700544,-0.028584183749973603,-0.028584183749973603,-0.028584183749973603,0.0,0.0,0.0,3785.9326749693887
204,2024-08-09 12:00:00,3457.121988499643,2904.409756650223,4699.945532940629,3457.121988499643,3457.121988499643,0.01779213500095718,0.01779213500095718,0.01779213500095718,0.00497655736765321,0.00497655736765321,0.00497655736765321,0.1132941816667399,0.1132941816667399,0.1132941816667399,0.11928978664174274,0.11928978664174274,0.11928978664174274,-0.02876429734361318,-0.02876429734361318,-0.02876429734361318,0.0,0.0,0.0,3848.7937951088024
205,2024-08-09 13:00:00,3457.1490809674556,3394.7423903297436,5158.407960519288,3457.1490809674556,3457.1490809674556,0.12592627068172949,0.12592627068172949,0.12592627068172949,0.0048504550987279165,0.0048504550987279165,0.0048504550987279165,0.22582816011619958,0.22582816011619958,0.22582816011619958,0.12399599136941108,0.12399599136941108,0.12399599136941108,-0.028944557033668925,-0.028944557033668925,-0.028944557033668925,0.0,0.0,0.0,4237.870697169747
206,2024-08-09 14:00:00,3457.1761734352676,3713.30009354765,5545.022193295814,3457.1761734352676,3457.1761734352676,0.24928219669978902,0.24928219669978902,0.24928219669978902,0.004689284124731661,0.004689284124731661,0.004689284124731661,0.3533022706604196,0.3533022706604196,0.3533022706604196,0.12845574598537052,0.12845574598537052,0.12845574598537052,-0.029124956149471613,-0.029124956149471613,-0.029124956149471613,0.0,0.0,0.0,4678.604365583048
207,2024-08-09 15:00:00,3457.2032659030797,4013.2355183636373,5798.7970553661335,3457.2032659030797,3457.2032659030797,0.32197693426380614,0.32197693426380614,0.32197693426380614,0.004493500248383013,0.004493500248383013,0.004493500248383013,0.42981057247547866,0.42981057247547866,0.42981057247547866,0.13264562598304416,0.13264562598304416,0.13264562598304416,-0.029305488019754612,-0.029305488019754612,-0.029305488019754612,0.0,0.0,0.0,4943.1457807849765
208,2024-08-09 16:00:00,3457.2303583708917,4091.95352109941,5862.190254796711,3457.2303583708917,3457.2303583708917,0.3323793247529587,0.3323793247529587,0.3323793247529587,0.004263824613101497,0.004263824613101497,0.004263824613101497,0.44370036936635415,0.44370036936635415,0.44370036936635415,0.13654336597310446,0.13654336597310446,0.13654336597310446,-0.029486145972810535,-0.029486145972810535,-0.029486145972810535,0.0,0.0,0.0,4991.204745364629
209,2024-08-09 17:00:00,3457.257450838704,4092.4939662974516,5870.703506409503,3457.257450838704,3457.257450838704,0.30976555188368876,0.30976555188368876,0.30976555188368876,0.004001242367348577,0.004001242367348577,0.004001242367348577,0.42422788573718895,0.42422788573718895,0.42422788573718895,0.14012801482296733,0.14012801482296733,0.14012801482296733,-0.02966692333681569,-0.02966692333681569,-0.02966692333681569,0.0,0.0,0.0,4923.922469657151
