,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,hourly,hourly_lower,hourly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
10,2024-08-01 10:00:00,3081.9086144747603,3034.8318604684396,4258.155327081705,3081.9086144747603,3081.9086144747603,0.01062996315932594,0.01062996315932594,0.01062996315932594,0.15902550919790018,0.15902550919790018,0.15902550919790018,0.0015678435941239629,0.0015678435941239629,0.0015678435941239629,0.1860363793078236,0.1860363793078236,0.1860363793078236,0.15902550919790018,0.15902550919790018,0.15902550919790018,-0.0006711633915953423,-0.0006711633915953423,-0.0006711633915953423,0.01548422674806887,0.01548422674806887,0.01548422674806887,0.0,0.0,0.0,3655.255734469236
11,2024-08-01 11:00:00,3081.9103051946117,2934.4870610519147,4123.101732817635,3081.9103051946117,3081.9103051946117,-0.0028349550951367033,-0.0028349550951367033,-0.0028349550951367033,0.1201510420826058,0.1201510420826058,0.1201510420826058,0.0010043180876652188,0.0010043180876652188,0.0010043180876652188,0.1335553566851662,0.1335553566851662,0.1335553566851662,0.1201510420826058,0.1201510420826058,0.1201510420826058,-0.00018310525389669005,-0.00018310525389669005,-0.00018310525389669005,0.015418056863928577,0.015418056863928577,0.015418056863928577,0.0,0.0,0.0,3493.5159352765672
12,2024-08-01 12:00:00,3081.911995914463,2980.606780601878,4238.044369941698,3081.911995914463,3081.911995914463,0.004638199999398826,0.004638199999398826,0.004638199999398826,0.15260459182876718,0.15260459182876718,0.15260459182876718,0.00043695201377974037,0.00043695201377974037,0.00043695201377974037,0.17336613379188515,0.17336613379188515,0.17336613379188515,0.15260459182876718,0.15260459182876718,0.15260459182876718,0.0003358108451602073,0.0003358108451602073,0.0003358108451602073,0.015350579104779202,0.015350579104779202,0.015350579104779202,0.0,0.0,0.0,3616.211163332986
13,2024-08-01 13:00:00,3081.9136866343147,3153.7996762478774,4444.843915668052,3081.9136866343147,3081.9136866343147,0.02542898085911459,0.02542898085911459,0.02542898085911459,0.19803956147339308,0.19803956147339308,0.19803956147339308,-0.00013041852335656618,-0.00013041852335656618,-0.00013041852335656618,0.23950541771460288,0.23950541771460288,0.23950541771460288,0.19803956147339308,0.19803956147339308,0.19803956147339308,0.0008854974736952074,0.0008854974736952074,0.0008854974736952074,0.015281796431756577,0.015281796431756577,0.015281796431756577,0.0,0.0,0.0,3820.0487115120177
14,2024-08-01 14:00:00,3081.9153773541657,3603.7532626853513,4779.3664782072465,3081.9153773541657,3081.9153773541657,0.045104461206968594,0.045104461206968594,0.045104461206968594,0.30265863904220147,0.30265863904220147,0.30265863904220147,-0.000693990481741386,-0.000693990481741386,-0.000693990481741386,0.3637464320152172,0.3637464320152172,0.3637464320152172,0.30265863904220147,0.30265863904220147,0.30265863904220147,0.0014656103841724202,0.0014656103841724202,0.0014656103841724202,0.015211711863616134,0.015211711863616134,0.015211711863616134,0.0,0.0,0.0,4202.951099639576
15,2024-08-01 15:00:00,3081.917068074017,3728.647967587985,4915.506567468951,3081.917068074017,3081.917068074017,0.0542460689668419,0.0542460689668419,0.0542460689668419,0.3268766643366488,0.3268766643366488,0.3268766643366488,-0.0012500193132601802,-0.0012500193132601802,-0.0012500193132601802,0.3970885863485685,0.3970885863485685,0.3970885863485685,0.3268766643366488,0.3268766643366488,0.3268766643366488,0.002075543881764675,0.002075543881764675,0.002075543881764675,0.015140328476573284,0.015140328476573284,0.015140328476573284,0.0,0.0,0.0,4305.711159879053
16,2024-08-01 16:00:00,3081.9187587938686,3828.4738418765496,4991.778920474672,3081.9187587938686,3081.9187587938686,0.053175900340364964,0.053175900340364964,0.053175900340364964,0.3666584349932337,0.3666584349932337,0.3666584349932337,-0.0017948438117704772,-0.0017948438117704772,-0.0017948438117704772,0.4358215692338053,0.4358215692338053,0.4358215692338053,0.3666584349932337,0.3666584349932337,0.3666584349932337,0.0027144283077898904,0.0027144283077898904,0.0027144283077898904,0.015067649404187195,0.015067649404187195,0.015067649404187195,0.0,0.0,0.0,4425.085428502513
17,2024-08-01 17:00:00,3081.9204495137196,3885.011710482336,5131.080275027142,3081.9204495137196,3081.9204495137196,0.047723455035607786,0.047723455035607786,0.047723455035607786,0.41223298979805817,0.41223298979805817,0.41223298979805817,-0.002324910204487855,-0.002324910204487855,-0.002324910204487855,0.476006342155713,0.476006342155713,0.476006342155713,0.41223298979805817,0.41223298979805817,0.41223298979805817,0.003381129689417838,0.003381129689417838,0.003381129689417838,0.014993677837117091,0.014993677837117091,0.014993677837117091,0.0,0.0,0.0,4548.934129501637
18,2024-08-01 18:00:00,3081.9221402335706,3624.406477516726,4874.36845374885,3081.9221402335706,3081.9221402335706,0.04221410000051008,0.04221410000051008,0.04221410000051008,0.3196182360063245,0.3196182360063245,0.3196182360063245,-0.0028367953195719514,-0.0028367953195719514,-0.0028367953195719514,0.3779882092955835,0.3779882092955835,0.3779882092955835,0.3196182360063245,0.3196182360063245,0.3196182360063245,0.004074251585310491,0.004074251585310491,0.004074251585310491,0.014918417023010402,0.014918417023010402,0.014918417023010402,0.0,0.0,0.0,4246.85237120887
19,2024-08-01 19:00:00,3081.923830953422,3191.337772939072,4476.519049816853,3081.923830953422,3081.923830953422,0.036663985472814825,0.036663985472814825,0.036663985472814825,0.1883383928395943,0.1883383928395943,0.1883383928395943,-0.003327228669355764,-0.003327228669355764,-0.003327228669355764,0.24130915904562802,0.24130915904562802,0.24130915904562802,0.1883383928395943,0.1883383928395943,0.1883383928395943,0.004792139136171539,0.004792139136171539,0.004792139136171539,0.014841870266403122,0.014841870266403122,0.014841870266403122,0.0,0.0,0.0,3825.6202788434725
20,2024-08-01 20:00:00,3081.9255216732736,2994.364205499174,4231.376025722411,3081.9255216732736,3081.9255216732736,0.029212944208897522,0.029212944208897522,0.029212944208897522,0.1225937823860803,0.1225937823860803,0.1225937823860803,-0.003793113299507806,-0.003793113299507806,-0.003793113299507806,0.16831053953412037,0.16831053953412037,0.16831053953412037,0.1225937823860803,0.1225937823860803,0.1225937823860803,0.0055328853102221305,0.0055328853102221305,0.0055328853102221305,0.01476404092842821,0.01476404092842821,0.01476404092842821,0.0,0.0,0.0,3600.646069030078
21,2024-08-01 21:00:00,3081.927212393125,3111.5531138001775,4254.447265097648,3081.927212393125,3081.927212393125,0.01916217088886081,0.01916217088886081,0.01916217088886081,0.16474850076604047,0.16474850076604047,0.16474850076604047,-0.004231545262568292,-0.004231545262568292,-0.004231545262568292,0.20065839813023473,0.20065839813023473,0.20065839813023473,0.16474850076604047,0.16474850076604047,0.16474850076604047,0.006294339311130613,0.006294339311130613,0.006294339311130613,0.014684932426771118,0.014684932426771118,0.014684932426771118,0.0,0.0,0.0,3700.3417899859096
22,2024-08-01 22:00:00,3081.9289031129765,3193.8365944489137,4356.917913007804,3081.9289031129765,3081.9289031129765,0.006512238792795154,0.006512238792795154,0.006512238792795154,0.20320421240073921,0.20320421240073921,0.20320421240073921,-0.004639831584918218,-0.004639831584918218,-0.004639831584918218,0.22675528493913527,0.22675528493913527,0.22675528493913527,0.20320421240073921,0.20320421240073921,0.20320421240073921,0.007074117095153141,0.007074117095153141,0.007074117095153141,0.01460454823536599,0.01460454823536599,0.01460454823536599,0.0,0.0,0.0,3780.7725697005158
23,2024-08-01 23:00:00,3081.9305938328275,3093.414539563182,4326.031265101289,3081.9305938328275,3081.9305938328275,-0.010660420861516341,-0.010660420861516341,-0.010660420861516341,0.20508861206341955,0.20508861206341955,0.20508861206341955,-0.005015506609757701,-0.005015506609757701,-0.005015506609757701,0.2118051904025606,0.2118051904025606,0.2118051904025606,0.20508861206341955,0.20508861206341955,0.20508861206341955,0.007869613926033034,0.007869613926033034,0.007869613926033034,0.014522891884382053,0.014522891884382053,0.014522891884382053,0.0,0.0,0.0,3734.699490067066
24,2024-08-02 00:00:00,3081.932284552679,2260.964044999463,3425.1023388596623,3081.932284552679,3081.932284552679,-0.036016799998508986,-0.036016799998508986,-0.036016799998508986,-0.0668232800033433,-0.0668232800033433,-0.0668232800033433,-0.005356346608821747,-0.005356346608821747,-0.005356346608821747,-0.08507844077605897,-0.08507844077605897,-0.08507844077605897,-0.0668232800033433,-0.0668232800033433,-0.0668232800033433,0.008678018874755222,0.008678018874755222,0.008678018874755222,0.01443996695985982,0.01443996695985982,0.01443996695985982,0.0,0.0,0.0,2819.72629120554
25,2024-08-02 01:00:00,3081.9339752725305,1239.2249295129434,2466.360550873154,3081.9339752725305,3081.9339752725305,-0.06981771490107386,-0.06981771490107386,-0.06981771490107386,-0.34599360040043037,-0.34599360040043037,-0.34599360040043037,-0.005660382570616076,-0.005660382570616076,-0.005660382570616076,-0.39761958961604615,-0.39761958961604615,-0.39761958961604615,-0.34599360040043037,-0.34599360040043037,-0.34599360040043037,0.009496331152381235,0.009496331152381235,0.009496331152381235,0.014355777103692886,0.014355777103692886,0.014355777103692886,0.0,0.0,0.0,1856.4966528009172
26,2024-08-02 02:00:00,3081.935665992382,613.804725272114,1844.9679016514242,3081.935665992382,3081.935665992382,-0.1032824631586713,-0.1032824631586713,-0.1032824631586713,-0.5099363710536198,-0.5099363710536198,-0.5099363710536198,-0.005925911085563108,-0.005925911085563108,-0.005925911085563108,-0.5945530411358323,-0.5945530411358323,-0.5945530411358323,-0.5099363710536198,-0.5099363710536198,-0.5099363710536198,0.010321378148624567,0.010321378148624567,0.010321378148624567,0.01427032601339734,0.01427032601339734,0.01427032601339734,0.0,0.0,0.0,1249.5614431916247
27,2024-08-02 03:00:00,3081.9373567122334,444.1924618988074,1691.4420206058196,3081.9373567122334,3081.9373567122334,-0.11976286896682141,-0.11976286896682141,-0.11976286896682141,-0.5476941568873258,-0.5476941568873258,-0.5476941568873258,-0.006151503264168594,-0.006151503264168594,-0.006151503264168594,-0.6482750766461018,-0.6482750766461018,-0.6482750766461018,-0.5476941568873258,-0.5476941568873258,-0.5476941568873258,0.011149835030343197,0.011149835030343197,0.011149835030343197,0.01418361744187083,0.01418361744187083,0.01418361744187083,0.0,0.0,0.0,1083.9941805711258
